Field, Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishery,Example Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Example Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species, Octopus cyanea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common_Name, Day octopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author, A. Hordyk (adrian@bluematterscience.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date, June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Schedules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ages, Weight_Age_Mean, Weight_Age_SD, Maturity_at_Age, M_at_Age, Post_Spawning_Mortality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.05,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.12,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.23,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.4,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.6,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.86,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.17,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.54,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.96,0.48,0,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.44,0.48,0.05,0.15,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.99,0.48,0.95,0.15,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3.6,0.48,1,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4.27,0.48,1,0.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAW Binned Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year, Month,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1.05,1.15,1.25,1.35,1.45,1.55,1.65,1.75,1.85,1.95,2.05,2.15,2.25,2.35,2.45,2.55,2.65,2.75,2.85,2.95,3.05,3.15,3.25,3.35,3.45,3.55,3.65,3.75,3.85,3.95
2019,10,0,1,16,16,46,27,39,28,37,193,45,37,59,54,76,34,50,37,21,82,18,12,27,7,7,4,5,4,1,20,3,3,3,0,1,5,1,2,2,3
2019,11,2,6,1,1,30,22,33,30,91,45,64,50,59,47,51,40,50,39,34,39,25,28,20,8,41,4,22,8,4,12,4,1,4,4,25,14,2,1,0,7
2019,12,0,0,0,1,27,15,27,35,45,24,58,35,56,35,58,42,36,30,26,47,52,30,37,24,25,16,15,22,5,5,3,3,4,0,9,6,0,0,1,3
2020,1,0,1,5,12,16,11,21,16,22,31,43,36,43,34,41,44,31,39,36,27,45,33,33,35,28,25,17,10,11,15,10,14,9,10,6,4,2,1,1,6
2020,2,0,0,0,4,13,8,19,19,24,97,81,66,86,47,62,47,36,35,47,31,36,33,34,16,12,14,12,9,11,8,10,5,0,3,2,3,0,4,1,9
2020,3,0,0,2,10,38,53,57,57,88,146,138,157,124,88,93,92,70,80,58,65,63,30,38,34,24,22,13,29,6,19,5,10,8,5,12,4,4,2,1,6
2020,4,0,0,4,2,8,4,14,8,10,22,28,34,35,24,30,44,21,20,17,28,18,22,17,21,16,10,18,12,5,16,9,5,5,4,4,1,2,0,2,6
2020,5,0,0,1,0,4,6,7,10,7,9,9,15,20,11,15,16,12,8,4,11,19,14,16,11,13,4,5,5,4,2,1,4,2,0,2,2,1,2,1,6
2020,6,0,0,0,0,1,6,10,5,11,5,1,7,6,1,4,15,7,10,3,4,6,3,5,5,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
